psite_id,disease_id,label
1403,68,1
965,211,1
2114,198,0
173,63,0
1458,223,1
41,194,0
1396,160,0
2206,13,1
1146,43,1
1829,123,1
610,76,0
672,206,1
282,167,0
567,229,1
513,276,0
1581,108,1
680,32,0
2260,164,0
456,138,0
1388,285,1
840,74,0
1643,11,0
1728,224,1
2269,13,1
2271,170,0
1463,37,1
1869,282,1
1109,151,1
2267,221,1
1058,239,0
94,72,0
852,75,0
1158,281,1
584,271,1
573,229,1
516,157,0
628,56,1
788,43,1
1256,68,1
1767,138,0
1095,239,1
47,251,0
771,25,0
25,28,0
1813,80,0
230,108,1
884,35,0
747,6,1
721,210,0
1751,240,1
968,50,1
964,239,1
994,87,0
2292,38,0
524,199,1
2021,43,1
1120,239,1
1105,24,0
1419,96,0
1075,123,1
1786,96,0
1384,108,1
394,43,1
243,227,0
1095,5,1
696,26,0
1155,24,1
1476,140,0
1124,123,1
552,84,0
1439,37,1
1053,119,0
2204,13,1
1242,37,1
1259,145,1
1239,179,1
1111,145,1
1656,183,0
1866,30,0
2205,171,0
2259,174,0
2133,167,0
557,198,0
1245,43,1
833,53,1
381,241,0
890,264,0
1582,239,1
661,13,1
802,57,1
930,87,0
540,65,0
1524,179,1
1494,37,1
260,3,0
648,123,1
424,1,0
623,246,0
567,231,0
190,243,0
982,151,1
1471,67,0
437,61,1
372,159,0
624,13,1
830,78,1
1326,211,0
2276,43,1
1217,75,0
280,161,1
705,88,0
1129,1,0
1881,63,0
1430,176,1
2033,12,0
965,95,1
1897,68,1
380,28,0
1523,161,1
568,104,1
2026,68,1
2243,115,0
346,179,1
155,5,1
2216,133,0
2030,104,0
560,230,0
288,206,1
630,106,1
1541,109,1
567,47,0
2170,257,0
1632,37,1
1282,71,0
253,286,0
800,67,1
1233,204,0
1476,161,1
377,37,1
2206,106,0
2180,247,0
962,52,1
1279,206,1
2035,219,0
607,16,0
428,68,1
1241,111,1
1388,239,1
184,43,1
1117,62,1
441,81,1
1705,150,1
1279,98,0
791,168,0
1201,55,0
445,195,0
2037,91,1
555,3,0
2286,132,0
925,82,1
1467,71,0
445,138,0
1557,50,1
1680,43,1
1050,50,1
1970,37,1
1919,91,1
327,254,0
1750,139,0
470,161,1
1467,276,0
827,37,1
2,58,1
1521,5,1
31,242,0
61,56,0
450,227,0
776,16,0
617,78,1
1554,136,0
179,211,1
1944,268,0
1693,28,0
924,273,1
899,279,1
1233,53,1
964,148,1
869,220,1
1212,273,0
1874,161,1
1188,47,1
582,271,1
317,223,1
1253,123,1
982,245,0
2041,23,0
1529,68,1
409,38,0
1571,90,0
2254,134,0
625,5,0
1672,224,1
1062,98,0
836,125,0
1798,155,1
1571,81,1
1698,259,0
2071,7,0
1145,245,0
959,101,0
1625,253,0
219,35,0
2012,58,1
125,167,0
168,43,1
276,18,0
769,79,0
737,90,0
1269,266,0
296,183,0
1630,269,1
210,114,0
2053,194,0
512,239,1
268,159,0
717,21,0
1390,268,1
2092,117,1
1563,108,1
2012,125,0
696,163,1
1203,291,0
2189,72,0
268,145,1
2170,190,0
1899,161,1
1537,0,0
370,43,1
560,13,1
1103,204,0
1622,24,0
1488,133,1
2279,257,0
1148,140,0
37,161,1
1160,233,0
292,246,0
2134,81,1
1832,37,1
1528,68,1
1450,161,1
522,43,1
259,55,0
154,43,1
1660,217,0
2014,128,0
1141,269,0
1796,43,1
1053,223,1
572,13,1
