psite_id,disease_id,label
2159,65,0
0,121,0
1103,70,0
451,218,0
968,81,1
1343,89,0
1581,117,1
70,18,0
87,34,0
576,5,0
872,257,0
1113,103,0
1863,260,0
2320,57,1
530,37,1
909,39,1
1189,126,0
383,114,0
1799,16,0
342,134,0
791,29,0
1705,150,1
1930,228,0
287,232,1
1641,282,1
1725,68,1
409,206,0
856,82,1
796,161,1
2101,239,1
1215,3,0
367,288,1
1829,280,0
616,54,0
318,173,1
858,37,1
1131,123,1
997,56,0
1249,127,0
943,37,0
449,273,1
1649,133,0
1788,78,0
13,114,1
1127,123,1
602,133,0
2011,89,0
2219,191,0
237,60,0
1470,13,1
1157,239,1
1878,114,0
1905,229,0
2065,127,0
1965,206,1
1712,122,0
400,223,0
280,161,1
1391,206,1
541,91,1
2004,53,1
811,243,0
362,37,1
1808,175,0
1095,53,1
1552,4,0
1378,123,1
585,229,1
590,155,1
1117,160,1
2049,267,1
1839,124,0
1369,170,1
489,259,0
555,13,1
599,113,0
656,13,1
2315,201,0
1602,37,1
1791,43,1
964,142,1
1702,21,0
879,239,1
1272,192,0
1352,90,0
651,239,1
1390,38,0
510,239,1
1871,239,1
309,89,0
1049,104,1
201,135,0
1617,155,1
622,229,1
2289,192,0
2181,37,1
1175,37,1
713,13,0
1011,199,0
2129,40,0
1754,70,0
2073,155,0
731,150,1
2252,102,0
964,278,1
258,50,1
290,37,1
2075,239,1
2109,106,0
1316,52,1
502,122,0
2308,140,0
833,68,1
263,47,1
1440,29,0
624,31,0
1274,151,1
269,150,1
1969,51,0
255,50,1
285,78,0
245,206,1
1528,68,1
925,279,1
915,132,0
1286,119,0
1917,58,1
64,43,1
2269,57,1
1828,288,0
699,6,1
1649,5,1
896,123,0
169,221,0
188,207,0
2313,290,0
1681,37,1
352,68,1
282,134,0
1463,37,1
628,56,1
1940,220,1
1475,155,0
52,19,0
924,273,1
793,131,0
1371,82,0
1183,227,0
625,13,1
296,206,1
223,71,0
444,194,0
301,43,1
550,13,1
1388,259,0
918,244,0
2200,233,0
1270,251,1
855,13,1
580,13,1
309,78,1
485,99,1
1242,5,1
964,149,1
