psite_id,disease_id,label
1766,134,0
1028,125,0
2039,69,0
584,247,1
50,199,0
1761,275,0
119,30,0
367,19,0
901,78,0
211,266,0
1903,140,0
2202,47,1
75,229,0
685,30,0
2124,248,0
198,97,0
628,225,0
2234,190,0
411,159,0
2059,272,0
1992,221,0
2291,95,0
318,200,0
1326,137,0
19,99,0
766,17,0
1294,102,0
466,84,0
1102,7,0
424,121,0
238,217,0
220,114,0
279,32,0
201,269,0
1267,209,0
1789,66,0
13,273,1
500,161,0
123,148,1
1160,145,1
878,217,0
2049,37,1
1886,96,0
593,81,1
1722,177,0
434,3,0
529,14,0
1957,208,0
1375,255,1
187,110,0
1187,70,0
506,273,0
502,9,0
1789,81,1
1551,248,0
480,89,0
1734,179,1
1091,183,0
1701,198,0
231,70,0
1699,214,0
1501,268,0
1389,21,0
1586,230,0
2156,193,0
308,164,0
2207,114,0
587,48,0
14,94,0
399,146,0
1662,43,1
964,222,1
163,223,1
1401,287,0
59,129,0
1855,229,1
342,186,0
964,123,1
1193,45,0
280,119,0
56,259,0
692,191,0
484,279,0
1955,218,0
211,12,0
1383,69,0
1785,164,0
1642,0,0
774,241,0
1699,158,0
6,222,0
965,224,1
67,82,0
1038,211,1
965,267,1
491,1,0
1224,13,1
1325,22,1
1657,4,0
364,71,1
522,43,1
1899,89,0
80,73,0
1933,247,0
911,193,0
793,13,1
93,64,0
1022,79,0
209,16,0
339,13,1
979,81,0
1347,112,1
2041,56,0
297,11,0
1196,26,0
2057,114,0
835,192,0
790,76,0
2238,71,0
2268,274,0
36,13,1
505,148,1
666,59,0
1895,125,0
1262,135,0
129,261,0
199,30,0
231,225,0
1,151,0
1854,235,0
702,234,1
2059,67,1
1990,222,0
1073,87,0
1008,83,0
1411,43,1
1349,32,0
1682,133,0
611,70,1
1329,256,0
1575,226,0
1915,242,0
1934,266,0
447,154,0
1505,253,0
2071,181,0
2185,279,0
266,220,0
1516,23,0
1215,11,0
534,106,0
1095,144,1
570,75,0
151,100,0
1987,58,1
1726,186,0
647,29,0
1792,43,1
35,20,0
1676,135,0
792,213,0
253,161,0
742,184,0
1902,161,1
1032,237,0
1893,270,1
2142,273,0
857,82,1
1612,50,0
812,98,0
1713,208,0
1994,221,0
1613,104,1
1599,126,0
692,228,0
1625,14,0
1699,108,0
1484,19,0
838,84,1
418,164,0
146,134,0
2302,83,0
1732,66,0
380,60,0
609,61,0
2298,265,0
330,211,1
1500,228,0
577,213,0
1025,172,0
2164,244,0
1013,64,0
1100,141,0
1643,59,0
1307,272,0
312,93,0
870,122,0
1450,194,0
1378,68,0
581,270,1
1548,118,0
2244,194,0
914,187,0
864,165,0
265,108,1
119,180,0
291,268,0
1873,21,0
8,256,0
1782,102,0
966,126,0
2230,20,0
1253,53,0
710,277,0
1392,58,1
1738,83,0
252,127,0
665,107,0
906,261,0
703,291,0
798,178,0
2245,119,0
1406,94,1
276,280,0
1660,141,0
1659,127,0
2103,248,0
2082,132,0
1536,164,0
1103,201,0
207,250,0
2162,229,1
347,21,0
425,1,0
1350,139,0
653,13,1
1451,191,0
665,292,0
1687,211,1
149,82,1
1219,267,1
2318,179,0
201,280,0
1941,62,0
495,234,0
938,71,0
1203,126,0
732,86,0
2211,163,0
1982,218,0
271,251,0
888,150,0
608,79,0
1505,209,0
469,197,0
1549,12,0
1851,186,0
373,234,0
998,257,0
82,45,0
1506,15,0
1637,114,0
1906,258,0
1892,2,0
1920,169,0
1538,289,0
518,129,0
1172,72,0
944,37,0
1563,39,0
460,19,0
1164,259,0
355,273,0
379,140,0
1354,139,0
552,224,0
1819,253,0
2046,52,1
1560,24,0
1477,31,0
1616,149,0
1680,129,0
2073,257,0
1303,40,1
2036,86,0
2185,179,0
557,163,0
1797,13,1
797,69,0
2169,108,1
1103,179,1
283,127,0
659,146,0
1858,271,0
1850,45,0
1322,169,0
1358,206,1
2190,76,0
1966,264,0
1030,291,0
489,174,0
427,271,0
1159,206,1
28,57,0
2241,49,1
524,262,0
276,168,0
1343,221,0
324,57,0
1151,103,0
261,249,0
892,179,1
1239,111,1
1509,161,1
304,183,0
1821,78,0
395,55,0
2140,200,0
2110,33,0
293,203,0
449,86,0
2217,124,0
899,46,1
1716,253,1
2046,57,0
933,26,0
702,45,0
1687,88,0
1186,134,0
672,76,0
1887,216,0
1140,44,0
1260,87,0
401,173,0
2142,289,0
825,217,0
1600,223,1
94,57,0
1122,154,0
1248,59,0
1802,258,0
1316,13,0
1670,77,0
1940,220,1
317,211,1
260,261,0
1399,171,0
1883,201,0
2320,58,1
1841,157,0
21,144,0
234,217,0
2236,128,0
2050,195,0
967,43,1
728,198,0
987,225,0
300,200,0
1400,183,0
1149,4,0
1169,13,1
741,58,0
61,118,0
625,152,0
949,93,0
126,221,0
831,62,0
851,93,0
255,121,0
212,87,0
316,234,0
2245,149,0
1117,43,1
329,226,0
522,289,0
925,82,1
753,278,0
181,31,0
1353,277,0
1600,59,0
812,158,0
300,1,0
2045,111,0
1432,14,0
1959,111,0
1447,39,0
837,25,0
2150,82,0
599,255,0
1352,31,0
454,43,1
757,133,0
77,258,0
1169,122,0
1399,46,0
1167,224,1
2299,70,0
1530,217,0
1472,126,0
715,289,0
646,37,1
222,121,0
1614,126,0
1550,251,0
995,233,0
1992,244,0
1794,56,0
2132,153,0
101,234,0
457,207,0
680,204,0
1156,281,1
405,187,0
2220,161,1
71,108,1
1536,33,0
340,268,0
1062,125,0
1207,228,0
2099,66,0
1585,115,1
627,286,0
1781,77,0
1703,151,0
1505,222,0
441,81,1
1576,115,1
684,225,0
1731,204,0
190,115,0
742,138,0
1703,16,0
640,56,0
666,176,0
541,68,1
18,289,0
2231,258,0
1629,223,1
1724,58,0
13,278,0
1133,276,0
2265,268,0
1171,91,0
1368,24,0
1641,233,0
9,289,0
660,267,0
2153,35,0
165,162,0
1775,258,0
2069,282,1
157,158,0
96,132,0
1613,236,0
562,16,0
509,201,0
758,218,0
1763,191,0
1845,67,0
83,121,0
1833,4,0
1635,52,1
1636,93,0
1117,223,1
1186,127,0
2057,24,0
141,140,0
916,2,0
1471,282,0
819,17,0
1175,81,1
607,263,0
1002,184,0
53,69,0
2012,255,0
1631,35,0
175,39,0
300,64,0
1431,61,0
81,157,0
743,24,0
1100,270,0
232,71,0
1727,260,0
1634,253,0
1766,143,0
812,138,0
1401,235,0
1036,57,0
1129,259,0
1578,234,0
308,154,0
2105,228,0
2237,215,0
911,18,0
5,229,0
714,243,1
124,16,0
2178,209,0
571,80,0
1373,11,0
1985,155,0
1024,47,1
1314,154,0
1857,79,0
1934,203,0
1675,200,0
160,220,0
2228,51,0
1817,95,0
1231,132,0
1089,221,0
662,61,0
938,183,0
1196,1,0
452,123,0
180,160,0
1757,178,0
496,205,0
1857,77,0
1850,259,0
1070,57,0
409,126,0
14,212,0
1428,131,0
415,148,0
596,25,0
1365,208,0
1730,232,0
1731,4,0
2195,92,0
766,59,0
222,174,0
1667,179,1
2150,199,0
2049,221,0
1124,233,0
1763,209,0
932,197,0
1384,3,0
1488,28,0
1032,190,0
50,7,1
947,13,0
1127,123,1
344,32,0
795,16,0
756,34,0
39,34,0
599,256,0
1563,198,0
1074,39,0
1156,102,0
1063,183,0
1942,244,0
1586,87,0
1352,37,1
1521,181,0
1329,146,0
2264,139,0
711,259,0
477,99,0
1663,151,1
2310,146,0
856,195,0
0,193,0
1704,193,0
978,16,1
320,43,1
1546,58,1
1344,37,1
2184,148,0
653,244,0
709,45,0
1299,77,0
125,169,0
732,0,0
1440,231,0
443,90,0
24,248,0
1325,17,0
2315,74,0
102,251,0
166,107,0
2235,215,0
1784,275,0
1520,138,0
1361,108,1
450,124,0
336,108,0
286,84,0
1346,143,0
1787,124,0
646,19,0
881,267,1
1884,159,0
1511,180,0
1037,154,0
606,0,0
831,233,1
11,26,0
741,271,0
988,152,0
1946,46,0
534,210,0
564,109,0
817,18,0
341,125,0
1313,248,0
476,198,0
484,160,0
1525,68,1
1040,2,0
1196,122,0
601,153,0
754,251,0
570,37,0
1977,243,1
412,62,0
2185,231,0
180,129,0
1272,257,0
2227,193,0
19,4,0
1840,193,0
2169,4,0
559,45,0
169,101,0
1982,182,0
140,84,0
125,119,1
1339,272,0
738,19,0
1550,159,0
498,82,0
1018,275,0
926,96,0
156,162,0
207,204,0
2273,196,0
509,69,0
979,68,1
1911,68,1
2137,209,0
839,155,0
203,139,0
2091,139,0
2192,241,1
456,52,1
252,111,0
1355,80,0
111,176,0
472,11,0
1114,227,0
1697,43,1
1997,273,0
2069,164,0
1620,58,0
1344,245,0
1926,218,1
1623,164,0
139,229,1
581,271,1
1507,181,0
1052,249,0
50,249,0
2305,32,0
487,159,1
2018,229,0
488,201,0
936,164,0
551,13,1
1490,246,0
1189,11,0
1305,120,1
908,239,1
817,202,0
1068,77,0
259,54,1
1412,81,0
1815,37,1
714,176,0
1306,190,0
1627,39,0
901,58,1
822,26,0
2138,287,0
530,86,0
942,24,0
2005,76,0
345,30,0
492,134,0
425,273,0
487,22,0
1333,245,0
1544,228,0
33,160,1
2028,269,1
855,222,0
646,190,0
830,292,0
1799,73,0
1090,228,0
646,43,1
2105,73,1
1723,33,0
1741,123,0
1868,275,0
450,141,0
1058,19,0
1988,162,0
1419,108,1
346,14,0
2214,17,0
21,265,0
1939,107,0
1633,196,0
2227,92,0
1699,288,0
443,11,0
1909,275,0
1987,36,0
677,280,0
678,144,0
682,191,0
1192,252,0
1073,149,0
1176,235,0
661,13,1
751,3,0
15,228,0
2213,5,0
818,227,0
1193,119,0
590,287,0
176,51,0
426,48,0
657,163,0
385,5,1
1615,230,0
1584,267,1
37,135,0
2281,229,0
237,99,0
1839,139,0
714,268,0
254,207,0
326,244,0
1316,1,0
1242,3,0
302,141,0
826,147,0
690,162,0
1363,271,0
2213,144,0
1071,220,0
1413,184,0
1545,110,0
305,38,0
1325,181,0
1596,235,0
970,5,1
1066,151,0
323,267,1
2102,69,0
1625,64,0
71,80,0
226,164,0
1134,267,0
1772,161,1
1939,74,0
1099,68,0
959,231,0
832,248,0
900,282,1
1159,83,0
1944,157,0
2218,266,0
1945,166,0
1500,199,0
1451,262,0
1060,134,0
1268,91,1
1080,78,0
1725,67,1
535,10,0
2219,161,1
1863,211,1
654,74,0
615,76,0
400,100,0
1648,115,0
2269,13,1
2085,21,0
1382,34,0
818,92,0
7,82,1
420,13,1
1864,100,0
1666,75,0
243,47,1
2288,43,1
840,175,0
456,28,0
1090,201,0
1779,82,0
1739,34,0
454,276,0
1221,34,0
404,281,0
1920,241,0
2320,231,0
1296,175,0
2251,185,0
497,272,0
1894,50,0
428,140,0
1443,269,0
354,215,0
1812,246,0
841,257,0
187,138,0
619,44,0
1773,221,0
1873,223,1
1010,98,0
1388,277,0
15,56,1
2078,127,0
168,206,1
647,60,0
946,241,0
1084,54,0
1227,72,0
2316,37,0
1993,188,0
839,171,0
697,97,0
446,30,0
179,227,0
1566,251,0
1169,198,0
877,39,0
1345,93,0
614,141,0
547,0,0
1512,275,0
1201,139,0
2163,144,0
77,233,0
839,279,0
501,202,0
996,50,1
982,248,0
1621,271,0
1652,270,0
2282,239,1
1028,82,1
1820,139,0
606,92,0
212,261,0
1476,224,1
1595,276,0
2217,271,0
964,50,1
1662,54,1
2301,135,0
177,102,0
2278,246,0
964,36,1
1971,76,0
830,110,0
1875,241,0
920,178,0
57,88,0
1793,127,0
660,17,0
559,221,0
1326,270,0
656,106,0
348,118,1
591,69,0
2057,142,1
429,97,0
1130,123,1
94,109,0
696,194,0
1910,217,0
1638,3,0
1705,275,0
2142,58,0
1188,108,1
789,18,0
369,185,0
2268,164,0
1829,62,0
2237,194,0
1089,20,0
1018,138,0
722,39,0
1982,274,0
2041,273,0
1095,151,1
901,115,1
886,93,0
4,156,0
1558,136,0
2030,23,0
84,119,0
1303,159,0
2209,130,0
1852,154,0
1000,108,1
2236,187,0
338,221,0
1654,78,0
327,244,0
2268,56,1
1205,160,0
1263,135,0
541,212,0
231,72,0
1891,114,0
1119,185,0
1721,242,0
1417,162,0
1471,13,1
581,5,0
1438,191,0
964,151,1
436,186,0
1851,183,0
686,255,0
1425,264,0
3,232,0
1796,13,1
2071,222,0
479,77,0
87,272,0
2297,225,0
1986,192,0
1871,190,0
385,152,1
1360,33,0
1909,42,0
1473,157,0
282,233,0
500,82,1
1587,142,0
1764,78,0
392,190,0
1165,77,0
2292,228,0
326,42,0
2033,186,0
1204,146,0
2145,13,0
420,262,0
216,243,0
1830,39,0
310,0,0
1491,135,0
2275,282,0
1869,215,0
1119,34,0
560,13,1
1585,191,0
741,285,1
1400,56,0
1084,47,0
951,115,0
524,22,0
1774,197,0
217,108,1
1418,66,0
188,200,0
786,76,0
2087,155,0
318,184,0
1513,197,0
227,21,0
885,278,0
1990,162,0
713,24,0
782,264,0
645,103,0
1847,138,0
796,11,0
1096,6,0
765,260,0
301,264,0
382,269,0
835,270,0
936,21,0
1698,92,0
126,72,0
2014,86,0
726,201,0
1645,206,1
1236,277,0
988,154,0
2303,64,0
583,146,0
1312,101,0
47,71,0
1573,258,0
724,254,1
898,176,0
1363,242,0
1622,64,0
1255,78,0
886,37,1
251,23,1
259,30,0
964,142,1
2040,203,0
2030,131,0
1971,86,0
