psite_id,disease_id,label
1956,190,0
1991,223,0
1955,18,0
1521,123,0
2100,9,0
2205,44,0
2138,165,0
1919,215,0
1444,118,0
1101,104,0
1791,23,0
135,278,0
1859,101,0
2279,275,0
1613,260,0
1927,86,0
552,259,0
1442,26,0
1041,178,0
1571,239,0
1828,122,0
1765,102,0
1148,117,0
1699,9,0
109,128,0
1975,38,0
1868,229,0
431,40,0
329,124,0
9,282,0
987,235,0
427,0,0
625,148,0
1201,220,0
44,46,0
1225,218,0
603,219,0
2174,175,0
711,28,0
379,51,0
1817,146,0
1319,27,0
979,4,0
969,268,0
1622,64,0
1280,102,0
394,28,0
655,235,0
1778,110,0
81,188,0
607,115,0
2215,258,0
2009,35,0
1647,234,0
805,229,0
1438,88,0
957,1,0
1065,96,0
2198,194,0
99,204,0
1480,26,0
1045,204,0
11,128,0
1951,259,0
322,202,0
663,252,0
2274,233,0
449,74,0
2163,19,0
380,272,0
1033,48,0
1051,139,0
128,104,0
1893,88,0
1382,255,0
1007,183,0
1315,188,0
826,54,0
1215,228,0
604,167,0
148,131,0
2183,93,0
865,66,0
1818,141,0
525,182,0
2175,248,0
1514,58,0
555,109,0
1846,208,0
516,23,0
1438,118,0
1193,187,0
2258,52,0
2024,20,0
1320,187,0
854,186,0
353,195,0
2229,243,0
18,80,0
435,79,0
1436,242,0
1459,132,0
579,6,0
736,69,0
378,201,0
1620,118,0
416,199,0
1822,121,0
1152,70,0
864,35,0
509,5,1
192,64,0
370,155,0
94,239,0
19,140,0
1628,42,0
2198,40,0
1397,43,0
2077,99,0
1375,115,0
133,138,0
76,101,0
728,202,0
242,73,0
1129,175,0
436,60,0
2214,13,0
2112,186,0
433,244,0
1787,33,0
38,4,0
694,190,0
1077,41,0
1998,209,0
1942,180,0
2048,52,1
1706,80,0
1053,203,0
1905,115,0
822,235,0
1303,41,0
1349,150,0
1608,131,0
1253,20,0
1894,20,0
2045,52,0
422,190,0
1447,131,0
1935,64,0
1550,59,0
1306,30,0
1673,162,0
264,249,0
2103,102,0
663,41,0
1613,63,0
937,76,0
1259,219,0
148,180,0
1691,233,0
2243,181,0
1584,34,0
1035,139,0
485,180,0
1309,229,0
1316,110,0
924,202,0
2215,240,0
1918,97,0
245,115,0
442,102,0
1471,1,0
1972,114,0
2061,104,0
365,92,0
926,261,0
1023,107,0
365,242,0
1665,42,0
414,132,0
954,131,0
1368,107,0
1640,131,0
173,150,0
1953,70,0
1194,91,0
1944,187,0
1780,157,0
146,247,0
2058,0,0
473,203,0
954,76,0
1504,217,0
512,87,0
2022,268,0
1456,264,0
474,95,0
424,50,0
2062,242,0
1189,119,0
273,245,0
2078,127,0
2300,185,0
903,147,0
148,29,0
2054,31,0
933,110,0
1083,144,0
1944,221,0
1075,110,0
1894,276,0
1589,22,0
824,19,0
2058,186,0
136,230,0
2274,23,0
496,94,0
701,188,0
1436,59,0
890,123,0
1984,195,0
638,34,0
1679,115,0
1616,201,0
6,252,0
868,202,0
1106,107,0
1791,268,0
159,208,0
2029,276,0
1655,75,0
973,208,0
1164,257,0
1835,119,0
954,228,0
565,182,0
1128,161,0
726,58,0
1350,234,0
122,77,0
1410,262,0
247,174,0
1394,37,0
1032,263,0
2109,122,0
1252,183,0
51,150,0
266,56,0
1959,91,0
635,165,0
2141,82,0
1541,38,0
1541,121,0
475,123,0
1312,170,0
1036,281,0
1825,56,0
1939,56,1
1134,57,0
1287,125,0
407,147,0
1789,125,0
56,135,0
27,191,0
1787,246,0
33,246,0
827,143,0
1683,241,0
175,142,0
1981,64,0
1103,114,0
1889,285,0
1574,287,0
39,164,0
1285,77,0
1911,260,0
1067,189,0
302,237,0
2152,155,0
138,261,0
648,152,0
1427,217,0
143,76,0
1004,187,0
2008,30,0
690,149,0
1058,148,0
50,28,0
2051,143,0
1899,69,0
2284,195,0
931,42,0
144,105,0
564,53,0
743,16,0
1505,237,0
2320,135,0
841,187,0
1610,274,0
621,213,0
104,16,0
1562,64,0
285,239,0
767,195,0
1901,264,0
1096,119,0
68,247,0
759,235,0
1327,153,0
1085,197,0
1331,219,0
1577,251,0
1490,90,0
1506,281,0
2235,253,0
2197,199,0
915,3,0
2209,175,0
2045,170,0
136,42,0
2166,20,0
1196,169,0
1978,233,0
550,174,0
225,220,0
503,139,0
1548,113,0
1194,18,0
401,187,0
1123,60,0
1317,229,0
1070,248,0
1324,203,0
1945,221,0
1794,215,0
1879,63,0
200,214,0
470,192,0
14,258,0
2208,210,0
1776,179,1
132,12,0
456,103,0
568,168,0
1198,90,0
2225,81,0
2250,200,0
28,240,0
1541,132,0
2073,201,0
1779,89,0
1729,83,0
170,56,0
502,86,0
490,124,0
991,235,0
1049,187,0
1905,132,0
284,87,0
1558,27,0
1404,273,0
609,156,0
863,275,0
283,2,0
116,38,0
654,254,0
272,196,0
2011,51,0
2000,133,0
1281,235,0
591,156,0
160,193,0
1486,217,0
574,162,0
1888,132,0
795,186,0
714,108,0
361,200,0
574,48,0
2076,220,0
21,219,0
1913,71,0
470,31,0
2081,81,0
433,273,0
1321,101,0
549,147,0
1882,155,0
583,243,0
567,151,0
1473,221,0
1480,30,0
1719,200,0
2256,88,0
1511,31,0
175,224,0
2078,45,0
138,221,0
147,64,0
247,257,0
1401,157,0
1169,291,0
2059,202,0
612,63,0
1334,157,0
2126,135,0
1742,124,0
1701,32,0
403,226,0
777,239,0
246,209,0
1444,237,0
427,124,0
1065,198,0
503,260,0
156,180,0
1865,218,0
439,35,0
2283,266,0
1050,14,0
1994,144,0
276,19,0
1135,237,0
207,22,0
1413,139,0
2077,40,0
268,268,0
2142,245,0
1180,57,0
362,25,0
1715,72,0
981,175,0
82,203,0
2035,246,0
906,275,0
663,132,0
2104,249,0
332,248,0
807,122,0
251,46,0
1465,207,0
1422,159,0
542,134,0
122,259,0
1055,99,0
1811,139,0
581,252,0
1448,232,0
1456,11,0
1616,267,0
664,139,0
1426,162,0
184,16,0
199,237,0
82,226,0
1186,74,0
871,76,0
2291,161,0
2092,5,0
895,46,0
1093,259,0
1851,276,0
1241,282,1
1124,145,0
1728,123,0
1990,263,0
1328,218,0
1416,220,0
1968,69,0
1185,107,0
367,115,0
562,141,0
396,70,0
296,276,0
2066,102,0
479,86,0
1201,233,0
637,2,0
2310,41,0
1799,205,0
1690,239,1
1393,110,0
1899,88,0
543,78,0
1093,242,0
2278,157,0
376,118,0
1839,42,0
1643,195,0
2069,271,0
1582,227,0
1201,275,0
1881,196,0
1986,33,0
433,228,0
228,124,0
1771,187,0
763,108,0
952,157,0
1396,173,0
444,49,0
1555,21,0
909,260,0
1583,260,0
1191,140,0
847,72,0
1428,282,0
512,121,0
2257,200,0
1481,204,0
1364,174,0
717,260,0
989,195,0
28,237,0
1790,1,0
872,70,0
1086,29,0
355,70,0
2247,286,0
1381,102,0
1283,270,0
1105,201,0
1628,194,0
1511,238,0
127,268,0
1337,240,0
750,16,0
839,108,0
32,149,0
