Mesh_name,disease_idx
Aarskog Syndrome,0
Abscess,1
Arrhythmogenic Right Ventricular Dysplasia,2
Acute Kidney Injury,3
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,4
"Leukemia, Myeloid, Acute",5
Alzheimer Disease,6
Adenocarcinoma,7
Lewy Body Disease,8
Adrenocortical Carcinoma,9
Adrenoleukodystrophy,10
Glioma,11
"Leukemia-Lymphoma, Adult T-Cell",12
Neurodegenerative Diseases,13
Acquired Immunodeficiency Syndrome,14
"Lymphoma, AIDS-Related",15
Androgen-Insensitivity Syndrome,16
"Liver Diseases, Alcoholic",17
Alexander Disease,18
Amyotrophic Lateral Sclerosis,19
Anal Canal Carcinoma,20
Astrocytoma,21
"Thyroid Carcinoma, Anaplastic",22
Hemangiosarcoma,23
Autism Spectrum Disorder,24
Asthma,25
Glioblastoma,26
Ataxia Telangiectasia,27
Atherosclerosis,28
"Dermatitis, Atopic",29
Atrial Fibrillation,30
Retinitis Pigmentosa,31
"Lymphoma, B-Cell",32
Barrett Esophagus,33
Breast Neoplasms,34
"Carcinoma, Basal Cell",35
"Leukemia, B-Cell",36
Behcet Syndrome,37
Bile Duct Neoplasms,38
Bipolar Disorder,39
Urinary Bladder Neoplasms,40
"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",41
Bloom Syndrome,42
Brain Neoplasms,43
Triple Negative Breast Neoplasms,44
"Carcinoma, Ductal, Breast",45
Brugada Syndrome,46
Burkitt Lymphoma,47
Neoplasms,48
"Carcinoma, Squamous Cell",49
Carcinoma,50
Myocardial Ischemia,51
Cardiomegaly,52
Cardiomyopathies,53
Cardiovascular Diseases,54
"Prostatic Neoplasms, Castration-Resistant",55
Corticobasal Degeneration,56
"Adenocarcinoma, Clear Cell",57
Cholangiocarcinoma,58
"Hemangioma, Cavernous, Central Nervous System",59
Celiac Disease,60
Uterine Cervical Neoplasms,61
Choriocarcinoma,62
"Renal Insufficiency, Chronic",63
"Leukemia, Lymphocytic, Chronic, B-Cell",64
"Candidiasis, Chronic Mucocutaneous",65
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",66
"Pulmonary Disease, Chronic Obstructive",67
Pulmonary Aspergillosis,68
Chronic Traumatic Encephalopathy,69
Fibrosis,70
Hodgkin Disease,71
"Carcinoma, Renal Cell",72
Chordoma,73
Coffin-Lowry Syndrome,74
Colitis,75
Colonic Neoplasms,76
Colorectal Neoplasms,77
Hydronephrosis,78
Coronary Artery Disease,79
"Hamartoma Syndrome, Multiple",80
Adrenal Cortex Neoplasms,81
Creutzfeldt-Jakob Syndrome,82
Crohn Disease,83
Costello Syndrome,84
Epilepsy,85
Melanoma,86
Cystic Fibrosis,87
"Cardiomyopathy, Dilated",88
Sleep Wake Disorders,89
Depressive Disorder,90
Diabetes Mellitus,91
Diabetic Cardiomyopathies,92
Diabetic Nephropathies,93
Stomach Neoplasms,94
Diffuse Intrinsic Pontine Glioma,95
"Lymphoma, Large B-Cell, Diffuse",96
Disease,97
Myotonic Dystrophy,98
Down Syndrome,99
"Muscular Dystrophy, Duchenne",100
"Carcinoma, Intraductal, Noninfiltrating",101
"Encephalomyelitis, Autoimmune, Experimental",102
"Muscular Dystrophy, Emery-Dreifuss",103
Brain Diseases,104
Endometrial Neoplasms,105
Uterine Neoplasms,106
Endometriosis,107
"Carcinoma, Ovarian Epithelial",108
Esophageal Squamous Cell Carcinoma,109
Esophageal Neoplasms,110
"Sarcoma, Ewing",111
"Lymphoma, T-Cell",112
Fanconi Anemia,113
Fatty Liver,114
Fetal Growth Retardation,115
"Cardiomyopathy, Hypertrophic, Familial",116
Fibromuscular Dysplasia,117
Fibrosarcoma,118
Dysostoses,119
"Lymphoma, Follicular",120
"Adenocarcinoma, Follicular",121
Fragile X Syndrome,122
Frontotemporal Lobar Degeneration,123
Gallbladder Neoplasms,124
Gastrointestinal Stromal Tumors,125
Granulosa Cell Tumor,126
Graft vs Host Disease,127
Granulomatosis with Polyangiitis,128
Gitelman Syndrome,129
"Paraparesis, Tropical Spastic",130
Hepatoblastoma,131
Squamous Cell Carcinoma of Head and Neck,132
Heart Diseases,133
Heart Failure,134
Hepatitis,135
Hepatitis B,136
Hepatitis C,137
"Carcinoma, Hepatocellular",138
Liver Neoplasms,139
"Distal myopathy, Nonaka type",140
Hypereosinophilic Syndrome,141
Ovarian Neoplasms,142
Encephalitis,143
Hereditary Sensory and Autonomic Neuropathies,144
Huntington Disease,145
Hyperalgesia,146
Hyperesthesia,147
Hypertension,148
Hypertriglyceridemia,149
Idiopathic Pulmonary Fibrosis,150
Infertility,151
Inflammation,152
Insulinoma,153
Intestinal Neoplasms,154
Uveal Melanoma,155
Ischemia,156
"Sarcoma, Kaposi",157
Keratoconus,158
Kidney Neoplasms,159
Kidney Diseases,160
Lafora Disease,161
Lymphangioleiomyomatosis,162
"Leukemia, Large Granular Lymphocytic",163
Laryngeal Neoplasms,164
Parkinson Disease,165
"Cystitis, Interstitial",166
"Arrhythmias, Cardiac",167
"Death, Sudden, Cardiac",168
Leukemia,169
Limb-girdle muscular dystrophy type 2A,170
"Muscular Dystrophies, Limb-Girdle",171
Liver Diseases,172
Adenocarcinoma of Lung,173
Lung Neoplasms,174
Small Cell Lung Carcinoma,175
Ventricular Remodeling,176
"Leukemia, Lymphoid",177
Lymphoma,178
"Lymphoma, Non-Hodgkin",179
Macrophage Activation Syndrome,180
Thrombocytopenia,181
"Depressive Disorder, Major",182
"Lymphoma, Mantle-Cell",183
Marfan Syndrome,184
"Thyroid Cancer, Papillary",185
Medulloblastoma,186
Megalancephaly Polymicrogyria-Polydactyly Hydrocephalus Syndrome,187
