psite_id,disease_id,label
814,73,1
71,66,1
2046,267,1
233,224,1
1082,23,1
307,237,1
969,47,1
843,108,0
2204,13,1
1979,38,0
1831,123,1
414,92,0
233,44,1
290,117,0
1552,200,0
1142,199,1
2076,67,1
301,43,1
320,237,1
1533,30,0
1518,25,0
1345,229,0
1012,161,1
646,37,1
1383,194,0
299,37,1
2310,13,1
1746,52,1
1789,8,0
372,43,1
1507,68,1
1024,204,0
803,114,1
27,206,1
1462,277,0
489,47,1
1662,47,1
689,232,1
861,261,0
1411,46,1
1345,206,1
1146,215,0
93,50,1
1148,223,1
288,269,1
183,67,1
1847,115,1
731,229,0
1540,109,1
1323,75,0
814,205,0
1649,43,1
364,239,1
2094,13,1
2170,249,0
1649,239,1
348,274,0
1501,67,1
1095,214,1
2059,67,1
1467,5,1
696,228,0
1673,224,1
2087,273,0
306,17,0
968,68,1
1586,241,0
573,32,0
1787,206,1
2101,73,0
337,43,1
2086,201,0
533,96,1
1331,125,0
1710,25,1
672,151,1
666,47,1
1,56,1
217,108,1
1904,229,1
417,138,0
1994,268,1
1663,61,1
672,223,1
568,104,1
65,204,0
451,133,0
1740,43,1
1962,69,0
1198,177,1
1614,62,0
965,82,1
2138,13,1
585,68,0
1204,67,0
581,13,1
920,14,0
880,151,1
1755,286,1
939,81,1
565,74,0
1175,47,1
1811,211,1
2054,121,0
1533,145,0
1818,64,0
2084,108,1
1574,56,1
1241,111,1
1635,52,1
875,11,0
191,164,0
1116,135,0
2179,99,0
415,13,1
445,80,0
1099,170,0
1332,124,1
333,258,0
599,78,0
58,219,0
1084,47,0
1060,151,1
1158,279,1
1314,154,0
773,151,1
1524,263,1
231,93,0
2048,52,1
1061,151,1
1257,161,1
1798,155,1
2258,51,0
1151,37,1
1354,104,0
1942,117,0
626,48,0
810,57,1
673,27,1
717,43,1
332,171,0
513,239,1
932,242,0
1187,28,0
1907,189,0
1808,100,0
1348,160,1
332,161,0
1371,13,1
822,47,1
898,276,0
516,239,1
2028,269,1
108,229,1
1174,206,1
814,66,1
423,72,0
365,263,1
844,289,0
1016,67,1
160,81,0
164,187,0
999,267,1
321,224,1
1350,171,0
583,229,1
1576,115,1
986,220,1
2289,10,0
146,224,1
696,108,1
899,82,1
791,268,1
564,290,0
2250,77,1
968,82,1
2310,210,0
546,50,1
1725,43,1
1156,281,1
646,281,1
1454,117,1
450,273,1
1908,97,0
54,223,1
726,257,0
2046,57,0
572,111,0
40,50,1
1081,37,1
690,12,1
667,37,1
636,233,0
1580,43,1
370,37,1
1368,229,1
454,43,1
43,13,1
1155,43,1
1681,37,1
380,55,0
430,269,1
1157,37,1
699,224,1
8,14,0
454,254,1
2012,190,0
2159,201,0
1963,161,1
1455,37,1
1433,211,0
357,223,1
2232,266,0
2030,223,1
1671,161,0
1525,68,1
1178,154,1
1233,91,1
593,13,1
968,91,1
1343,185,0
1195,279,0
1879,55,0
568,155,1
810,124,0
1923,270,1
2016,239,1
297,37,1
1582,179,1
1857,194,0
1241,47,1
2265,110,0
1076,113,0
1339,37,1
351,67,1
2036,97,0
1095,67,1
1435,13,1
1907,81,1
535,96,1
1894,50,0
1382,47,0
1095,267,1
264,94,1
708,267,1
814,138,0
1857,208,1
771,52,1
669,212,0
1095,90,1
53,223,1
1242,5,1
2252,97,0
552,13,1
578,13,1
1403,229,1
800,123,1
753,263,0
1170,2,0
1534,77,0
572,13,1
1759,192,0
813,57,1
222,108,1
2,240,0
30,123,1
2023,206,1
2174,241,0
903,81,1
258,50,1
305,18,0
1397,222,0
297,260,0
2183,114,0
1824,81,1
1050,4,0
259,59,0
830,212,0
792,13,1
195,107,0
1385,280,0
154,186,0
2133,119,0
1447,220,1
1622,78,0
1931,193,0
1512,53,1
1637,261,0
1175,239,1
299,43,1
1478,88,0
314,50,1
2023,264,0
1431,6,0
2306,269,1
1503,47,1
964,151,1
2119,206,1
2223,259,0
575,13,1
2265,68,1
521,12,0
866,265,0
1565,221,0
45,77,0
2237,73,0
1560,239,1
713,37,1
412,124,0
2035,271,0
241,84,0
1039,223,1
1814,52,1
2134,113,0
1639,151,1
863,59,0
939,156,0
965,61,1
1845,135,0
1896,217,0
1684,68,1
586,13,1
804,262,0
1908,162,0
965,43,1
499,170,1
184,5,1
1132,179,0
408,145,0
1006,205,1
624,268,1
899,47,1
1500,68,1
1872,223,1
1992,91,0
1725,68,1
868,37,1
1143,82,1
1240,269,0
884,263,0
995,55,0
777,173,0
1537,148,1
932,162,1
1673,264,0
750,37,1
765,81,0
1826,249,0
1850,229,1
1053,86,0
2242,269,1
1627,56,0
2122,78,0
918,257,0
1843,266,0
1280,122,0
1729,31,0
578,271,1
619,13,1
977,229,1
614,189,0
1281,98,0
601,62,0
514,39,0
2082,239,1
1723,206,1
2254,19,0
2175,64,0
340,43,1
1467,239,1
1549,165,1
1206,43,1
573,229,1
1631,4,0
1802,140,0
1651,13,1
752,129,0
490,43,1
2156,267,1
125,102,0
1150,36,1
2238,74,0
1780,282,1
125,25,0
1284,260,0
450,274,0
1990,146,0
786,282,1
265,108,1
293,118,0
994,108,1
1205,227,0
549,249,0
1868,66,1
1157,206,1
570,14,1
757,276,0
2174,224,1
923,81,1
158,161,1
1425,115,1
1685,162,0
1819,245,0
625,13,1
323,234,0
1188,164,0
892,187,0
1910,68,1
1795,225,0
94,188,0
1820,221,0
156,9,0
1152,58,1
1785,68,1
1161,224,1
1625,67,1
532,68,1
2208,141,1
2233,246,0
1535,37,1
28,170,0
2248,157,0
585,64,1
688,6,0
1930,242,0
1914,69,0
572,241,0
24,269,1
1668,100,0
1150,92,0
1092,158,0
1530,34,0
733,0,0
541,91,1
1943,99,0
968,43,1
2093,57,0
768,126,0
1537,13,0
1109,143,0
1939,56,1
2048,178,0
193,179,1
366,224,1
1325,108,1
2039,43,1
2277,240,1
1253,123,1
964,162,1
1226,233,0
1048,243,0
1823,4,0
1592,65,0
2131,211,1
1364,211,1
627,56,1
540,37,1
1705,272,0
51,57,1
644,55,0
1269,223,1
676,96,0
949,108,1
1279,157,0
553,208,0
1241,223,1
1614,14,1
861,270,0
147,217,0
229,1,0
2220,276,0
291,43,1
975,124,0
870,81,1
968,81,1
1522,23,0
1015,145,0
617,81,1
1764,269,1
199,30,0
1614,269,0
320,206,1
1022,237,0
468,161,1
1164,165,1
1115,68,1
605,13,1
1661,223,1
331,148,1
919,123,0
1488,60,0
2046,50,1
1142,77,0
1958,47,1
72,95,1
113,194,0
1229,95,1
2223,123,1
1642,211,1
1067,275,0
340,179,1
1913,161,1
1875,151,0
1360,50,1
2213,119,0
1616,284,0
1845,290,0
1627,39,0
2202,55,0
1083,23,1
1947,66,1
49,37,1
1951,91,0
1005,276,0
694,108,1
740,52,1
214,77,0
121,95,0
696,2,0
2059,272,0
1794,167,1
1971,86,0
1368,17,0
1252,289,1
64,206,1
653,8,0
788,37,1
316,47,1
239,115,0
2109,239,0
599,271,1
1156,43,1
292,206,1
1863,81,0
537,96,1
99,37,1
1241,56,1
672,267,1
1691,23,0
851,43,1
483,182,0
2074,200,0
1832,37,1
819,161,1
90,282,1
1245,241,0
12,179,0
828,68,1
1466,5,1
1471,242,0
696,161,1
2314,70,0
757,58,1
2239,47,1
1117,5,1
803,57,1
672,109,1
216,239,1
2292,211,1
1848,292,0
13,82,1
1796,30,1
1133,137,0
2013,161,1
295,90,0
4,58,1
1920,224,0
2057,142,1
520,239,1
1113,110,0
1698,155,0
2207,224,0
462,227,0
923,283,1
997,250,1
1221,67,1
2103,269,1
2194,206,1
775,211,1
312,201,0
1356,143,0
2066,65,0
1873,43,1
2120,276,0
217,264,0
1477,220,0
617,13,1
1985,37,1
1505,64,0
927,77,0
1042,80,0
1550,165,1
1760,176,0
1346,65,0
41,68,1
2266,68,1
743,67,1
1030,212,0
1513,197,0
454,246,0
941,8,0
789,21,0
1608,43,1
66,267,1
394,47,1
1818,289,0
1933,260,0
1153,26,0
573,13,1
939,130,1
923,279,1
748,13,1
188,20,0
1560,155,0
180,200,1
1484,19,0
294,190,0
2119,203,0
1294,91,1
2,132,0
2194,229,1
2008,58,0
1400,37,1
848,76,0
231,43,1
2311,180,0
984,88,0
143,199,0
1102,198,0
716,128,0
2236,185,0
507,14,0
301,206,1
38,14,0
1857,81,1
2037,223,1
1097,80,1
1398,239,1
1543,239,1
697,159,0
1192,218,1
366,5,1
1580,114,0
1508,68,1
597,13,1
1159,1,0
1966,52,1
972,43,1
1758,57,0
1508,161,1
96,5,1
1011,108,1
1119,80,0
1919,53,1
1143,224,1
1790,81,1
1374,255,1
523,282,1
1552,75,0
359,34,0
1990,147,0
850,13,1
1481,190,0
1461,68,1
964,117,1
1802,110,0
968,47,1
622,81,1
2258,206,0
2159,239,1
272,100,0
635,46,0
1493,13,1
401,229,1
890,21,0
801,57,1
1442,123,0
836,260,0
133,239,1
1168,132,0
1263,91,1
668,132,0
1695,243,0
562,235,0
1241,13,1
739,55,0
1279,70,0
1709,238,0
1055,1,0
1341,37,1
433,37,0
629,65,0
1562,268,0
1752,126,0
1629,135,0
1140,19,0
1531,279,0
539,37,1
715,289,0
1390,37,0
2249,77,1
154,43,1
1312,146,0
1668,26,0
1349,13,1
183,43,1
1882,81,1
796,161,1
1025,140,0
1817,199,0
1904,258,0
709,254,0
1308,210,1
1524,108,1
1027,43,1
1417,102,0
788,193,0
8,65,0
1965,32,0
102,221,0
948,273,0
1013,161,1
956,213,1
997,179,1
1098,80,1
957,186,0
31,125,0
1286,261,0
2154,92,0
1848,268,1
435,43,1
1192,182,0
1783,138,1
