psite_id,disease_id,label
1761,47,1
843,25,1
344,251,0
1609,82,1
803,271,0
55,223,1
710,28,0
244,269,1
1389,268,1
1134,159,0
641,204,0
1373,178,0
1254,161,1
1138,165,0
634,53,0
1018,77,1
1739,38,0
549,273,0
1604,56,0
311,65,0
812,254,0
1054,280,0
1349,13,1
851,223,1
218,239,1
561,82,1
883,148,1
1986,206,1
1089,90,0
565,198,0
1734,45,1
1307,117,0
864,67,0
1781,6,1
2179,47,1
1524,161,1
1317,249,1
868,37,1
1155,150,1
1309,135,0
917,65,0
1218,18,0
626,78,1
2133,182,0
1412,261,0
1148,223,1
1568,115,1
398,271,1
2096,83,0
1210,161,1
2273,160,1
25,222,1
1345,245,0
317,206,1
220,138,0
330,227,0
149,82,1
703,234,1
198,29,1
1451,130,0
1101,19,0
591,205,0
624,268,1
1010,186,0
567,13,1
724,111,0
1089,261,0
1528,43,1
1343,158,0
1436,175,0
762,276,0
1847,109,0
1275,108,1
1395,153,0
1609,67,1
934,266,0
174,149,0
2267,149,0
729,26,0
1051,253,0
2227,43,1
1929,269,1
283,160,0
494,228,0
362,37,1
1751,239,1
1075,123,1
2202,219,0
1384,181,0
1653,50,1
2048,52,1
595,63,0
965,255,1
953,108,1
1169,9,0
1082,23,1
1490,108,1
1351,107,1
679,208,0
1052,186,0
1938,220,0
2200,139,0
1583,204,0
364,239,1
548,13,1
248,194,0
1885,258,0
2249,194,0
607,183,0
168,251,0
1665,190,1
666,25,0
282,157,0
590,112,0
949,158,0
2239,47,1
1257,56,0
1467,5,1
248,289,0
1925,261,1
1039,17,0
711,98,0
651,5,1
1803,223,1
399,271,1
1528,285,1
1838,161,1
1770,43,1
1594,25,0
1795,141,0
704,23,0
2140,109,1
1617,164,0
624,277,0
2041,203,0
2115,36,1
1078,276,0
514,239,1
435,279,1
690,104,1
858,212,0
316,86,1
1499,42,0
1666,110,1
1067,82,1
1698,50,1
1822,115,0
1337,258,0
2006,179,0
1455,253,0
85,260,1
221,13,0
651,43,1
399,112,0
1203,219,0
368,43,1
203,28,0
1066,82,1
1510,135,0
152,218,0
1780,206,1
1387,236,0
823,174,0
372,194,0
1242,155,1
428,270,0
1417,239,1
2309,257,0
554,199,1
964,142,1
363,286,1
1226,187,0
430,223,1
1560,240,1
345,47,1
1406,94,1
646,279,1
531,239,1
1345,37,1
302,219,1
1926,189,0
1701,130,1
451,130,1
2311,81,0
394,47,1
782,176,0
178,179,1
1091,47,1
245,50,1
1484,215,0
2182,37,1
1677,159,0
1488,44,0
1264,55,0
399,47,0
516,35,0
2202,229,0
965,50,1
52,128,0
624,208,0
544,37,1
1299,242,0
654,13,1
1503,47,1
124,43,1
1066,98,0
724,254,1
1884,77,0
410,158,0
563,13,1
908,5,1
902,199,1
1438,125,0
147,37,1
937,129,0
1458,184,0
478,47,1
1257,37,1
2039,160,1
1709,38,1
1436,195,0
1201,160,1
319,54,1
1095,101,1
1760,91,1
1322,235,1
964,117,1
888,65,0
2059,286,1
1241,13,1
168,131,0
140,157,0
1218,37,1
536,24,0
963,73,0
1380,107,0
1983,211,1
847,103,0
1151,119,0
1315,82,1
1909,71,0
270,98,0
1244,237,1
15,81,0
520,40,1
2024,50,1
901,51,0
1868,182,0
2172,128,0
520,239,1
1042,79,0
211,211,1
2023,266,0
901,231,0
1090,104,0
769,43,1
415,56,0
1664,213,0
1132,120,0
364,224,1
1640,253,1
1267,50,1
1054,243,1
1738,89,0
1705,50,1
2023,223,1
1241,82,1
1643,123,0
327,265,0
168,97,0
944,279,0
2073,95,1
1898,239,0
1154,203,0
1452,82,0
1623,189,0
899,283,1
1067,139,0
1927,77,1
1368,229,1
2216,99,0
1577,220,1
1652,43,1
1218,224,1
764,96,0
2081,206,1
487,11,1
2245,58,1
553,82,1
272,167,1
370,37,1
1488,216,0
1689,133,0
173,57,1
292,91,1
446,156,0
1135,77,1
519,11,0
1227,251,0
979,234,0
821,123,0
1146,67,1
1459,37,1
2223,13,1
1833,200,0
163,223,1
469,285,1
1799,13,1
593,81,1
1632,43,1
2290,123,0
386,224,1
651,282,1
840,151,1
1083,67,0
550,186,0
3,57,1
2272,160,1
214,239,1
1485,113,1
923,279,1
1274,225,0
2165,99,0
1662,51,1
1356,255,1
146,5,1
1676,107,0
714,116,0
864,126,0
1793,63,0
336,130,1
1776,239,1
158,227,0
2071,65,0
967,23,0
1736,179,1
1984,33,0
1739,37,1
2228,44,0
1782,130,0
2235,276,0
418,13,1
786,40,0
676,13,1
1661,51,1
1706,64,0
1458,223,1
1124,123,1
899,82,1
1906,141,1
1694,269,1
1194,229,1
1157,153,1
200,151,0
2019,81,1
964,81,1
1823,47,1
320,108,1
1524,43,1
778,64,1
1834,37,1
1164,98,0
2183,52,1
1979,199,0
1853,229,1
2300,77,0
575,14,1
1908,251,0
1705,117,0
914,37,1
789,43,1
1888,203,0
1847,58,1
1712,25,0
804,57,1
1255,61,1
1271,153,1
1818,191,0
968,123,1
2081,43,1
288,16,0
1327,25,0
1149,50,1
1509,223,1
1621,55,0
1704,71,0
2275,177,0
1075,191,1
1502,67,1
256,43,1
53,209,0
1689,211,1
1020,221,0
82,97,1
307,118,0
765,237,0
91,249,0
1358,206,1
317,223,1
1893,138,1
1540,195,0
680,117,0
1640,13,1
2298,155,1
1647,248,0
1388,285,1
150,285,0
586,271,1
846,52,1
1273,57,1
1560,239,1
1734,54,1
1391,37,1
1750,139,0
849,245,0
715,37,1
1073,117,1
1161,224,1
1265,53,1
1046,179,1
1457,267,1
1092,60,0
2195,75,0
1851,243,0
1951,229,1
1157,37,1
1790,81,1
1385,265,0
423,94,1
156,291,0
1419,107,0
2241,55,0
380,77,1
2259,195,0
1261,37,1
2297,29,0
2241,23,0
2132,45,0
336,288,0
2174,4,0
576,117,0
598,287,0
543,200,0
825,264,0
919,266,0
855,78,1
703,102,0
1586,239,0
1171,24,0
1794,171,1
370,121,0
2270,145,0
1366,159,0
2163,292,0
1949,191,0
681,96,0
1941,137,0
2046,52,1
1501,43,1
2119,43,1
1818,242,0
592,155,1
595,271,1
828,212,0
1866,211,1
2077,269,1
478,57,1
1186,117,0
280,161,1
775,211,1
796,50,1
2201,264,0
851,58,1
14,130,1
160,161,1
372,206,1
12,77,0
1609,43,1
2009,43,1
1905,172,0
452,235,0
966,260,0
1882,276,0
898,159,0
176,80,0
658,187,0
1825,103,0
1368,13,1
221,40,0
602,258,0
560,13,1
672,37,1
23,162,0
145,46,1
2062,228,0
322,206,1
808,21,0
916,69,0
1905,57,0
672,151,1
1892,77,0
1458,53,1
2093,126,0
390,222,1
643,124,0
1667,245,0
582,104,1
