psite_id,disease_id,label
2103,234,0
1500,178,0
833,91,1
1447,52,0
1725,161,1
804,64,0
492,251,0
745,148,1
429,204,0
201,64,0
151,81,1
1599,223,1
463,243,1
1491,162,1
666,26,0
2123,60,0
906,158,0
1029,251,0
874,155,0
2012,58,1
2178,175,0
324,244,0
1867,257,0
1616,176,0
509,43,1
965,224,1
1159,72,0
1727,224,1
340,43,1
456,72,0
1620,43,1
1701,97,0
1403,229,1
584,155,1
2149,69,0
2227,56,1
1601,37,1
1859,28,0
99,37,1
803,56,1
2232,12,0
1103,82,0
1935,16,0
1221,123,0
2157,248,0
1662,160,1
755,286,1
82,55,0
498,143,0
1252,291,0
1192,78,1
249,187,0
1490,124,0
1476,79,0
65,68,1
1000,108,1
2272,80,0
546,127,0
337,73,0
1346,43,1
1867,114,0
314,229,1
544,37,1
1269,50,1
620,6,0
2299,111,0
723,4,0
1987,36,0
1242,155,1
584,82,1
1920,42,0
834,285,1
206,50,1
1271,32,0
929,254,1
1557,64,0
1094,150,1
2130,242,0
68,93,0
462,23,0
309,227,0
663,163,0
466,206,1
151,134,0
553,56,1
478,47,1
1830,261,0
1684,78,0
1902,139,0
1584,37,1
646,206,1
2278,54,0
1468,37,1
1373,211,1
2026,68,1
1808,206,1
1731,56,1
837,267,1
692,260,0
794,135,0
2117,286,1
935,68,1
437,162,1
529,268,0
788,257,0
1782,140,1
670,223,1
1336,57,1
518,190,0
1280,163,0
1844,56,1
621,107,0
2259,206,1
828,37,1
1486,108,1
1643,244,0
555,147,0
1524,61,1
183,43,1
453,110,1
1125,197,0
2058,239,1
1178,212,0
1651,183,0
1388,131,0
541,91,1
1042,125,0
101,135,1
1501,47,1
482,99,1
1095,95,1
2308,37,1
446,58,1
91,282,1
1728,224,1
1279,275,0
205,50,1
1209,125,0
710,283,0
565,252,0
1049,67,0
386,270,0
1342,31,0
416,262,0
1857,81,1
948,84,0
1235,37,1
71,160,1
619,78,1
1368,229,1
1422,213,0
1055,76,0
1693,108,1
1891,230,0
2078,130,1
1849,229,1
1268,12,0
606,163,0
1095,206,1
843,25,1
491,214,0
2200,217,0
1244,237,1
579,217,1
102,270,0
714,81,1
1005,108,1
1913,77,0
1091,47,1
15,133,0
342,258,0
1714,68,1
1543,5,1
584,199,1
763,56,1
573,280,0
685,117,0
637,107,0
480,179,1
768,81,0
1620,71,0
596,168,0
2121,37,1
470,47,1
956,213,1
654,244,0
1374,123,1
1228,95,1
2069,66,0
2277,240,1
1713,68,1
1129,6,0
1780,282,1
1496,68,1
537,150,0
2225,206,1
1708,202,0
1863,211,1
1160,145,1
1261,110,0
1191,202,0
1524,254,1
672,206,1
231,43,1
646,178,0
787,45,0
273,25,0
1541,87,0
2217,127,0
1681,37,1
272,176,0
1068,162,0
4,122,0
1512,52,1
1095,5,1
1241,37,1
915,161,1
1381,182,0
1717,37,1
1027,43,1
70,66,1
1155,150,1
2127,108,1
954,125,0
2223,166,0
1201,68,1
1629,223,1
554,229,1
2116,117,0
515,239,1
1524,37,1
1413,201,0
1318,270,1
1184,37,1
1840,23,0
96,164,0
868,127,0
699,37,1
635,58,0
197,66,1
1515,254,0
446,179,0
313,37,1
1722,190,0
1895,68,1
1820,272,0
2034,161,1
118,286,0
614,156,0
631,118,0
1540,109,1
2118,261,0
816,172,0
26,176,0
454,37,1
856,64,0
1142,115,1
840,151,1
1418,289,0
1795,277,0
699,267,1
1862,181,0
631,223,1
963,43,1
1475,161,1
628,232,1
1422,235,0
1539,203,0
155,5,1
1868,147,0
1223,234,0
1262,223,1
2202,47,1
471,104,0
1988,110,0
422,24,0
1034,24,0
1256,37,1
16,174,0
731,274,1
984,49,0
92,28,1
794,168,0
73,56,1
848,99,0
2258,56,1
752,161,1
1033,219,1
1461,91,1
145,46,1
32,213,0
1064,47,1
802,57,1
293,166,0
2108,78,0
526,291,0
618,205,0
339,80,0
2155,202,0
1524,269,1
1015,82,1
1614,14,1
1241,6,1
231,134,0
356,223,1
116,268,0
2047,37,1
503,75,0
1159,37,1
1484,54,1
154,239,1
106,155,0
1324,161,1
1760,161,1
2288,43,1
1070,266,0
2016,138,0
2261,92,0
292,37,1
1298,37,1
1989,56,1
85,68,1
2005,73,0
1992,268,1
451,58,1
1997,56,0
2151,28,0
599,96,0
1554,162,0
269,270,0
2313,279,0
716,67,1
254,1,0
482,120,0
766,235,0
570,237,0
100,181,0
1319,44,0
1770,266,0
1121,128,0
2235,253,0
1507,223,1
1832,178,0
2206,152,0
2036,126,0
587,4,0
1525,68,1
614,229,1
398,98,0
1234,279,0
1223,32,0
772,21,0
535,258,0
928,43,1
2316,97,0
1968,190,1
736,263,0
146,132,0
1329,275,0
2193,228,0
1055,58,0
596,211,0
709,268,1
934,69,0
554,199,1
1227,95,1
2268,56,1
889,72,0
1042,197,1
2099,249,0
1606,217,0
2046,50,1
1683,289,0
1250,206,1
1426,82,1
2078,225,0
699,286,1
2209,132,1
1780,206,1
81,110,0
1939,56,1
226,68,1
13,82,1
832,53,1
1598,50,1
851,267,1
1490,97,0
803,282,0
1098,182,0
951,68,1
1769,50,1
2229,185,1
1330,138,1
2240,43,1
352,267,1
1246,228,0
572,75,0
1315,93,0
315,39,0
1709,68,0
1343,37,1
860,206,1
1095,167,1
1110,147,1
611,70,1
1636,206,1
1157,128,0
1954,229,1
759,250,0
672,151,1
2131,211,1
749,43,1
2161,134,0
1281,108,1
652,86,1
1972,30,0
1981,218,1
1132,123,1
169,202,0
820,181,0
1091,5,1
1268,223,1
296,90,0
997,68,1
1319,138,1
1690,239,1
289,37,1
1119,273,0
391,52,1
194,179,1
1963,68,1
697,190,0
2138,124,0
27,220,0
1026,43,1
1168,261,0
983,80,0
255,50,1
86,134,0
144,115,0
230,266,0
601,140,0
468,289,0
2020,78,0
181,70,0
976,142,0
1308,210,1
2061,68,1
1959,137,0
521,17,0
1194,43,0
2018,82,1
840,138,0
1765,176,1
508,50,1
13,114,1
1095,109,1
1793,241,1
928,286,1
669,289,0
833,53,1
448,290,0
737,190,0
1639,125,0
509,5,1
622,137,0
1545,58,1
194,229,0
1586,205,0
1076,4,0
139,39,0
1818,3,0
526,199,1
1945,82,1
2318,81,1
900,82,1
303,52,1
2232,185,0
1887,56,1
2175,222,1
1489,257,1
964,81,1
1445,250,0
1218,92,0
1059,271,0
1363,68,1
2110,277,0
624,286,0
1111,195,0
322,267,1
570,14,1
2200,160,1
809,163,0
1161,224,1
397,190,0
1725,43,1
299,247,0
1256,68,1
2149,14,1
849,18,0
777,81,1
854,134,0
323,57,1
581,155,1
1165,165,1
1953,186,0
1501,132,0
2194,242,1
184,129,0
1682,239,1
1794,167,1
1080,37,1
1322,190,0
1357,73,0
2025,239,1
547,50,1
525,280,0
2014,239,1
174,58,1
173,211,0
1513,50,1
1757,67,1
